commodity,n_weeks,pct_coverage
flour,66,0.205607476635514
hard flour,170,0.5295950155763239
soft flour,218,0.6791277258566978
milk powdered,279,0.8691588785046729
bottled water purified,279,0.8691588785046729
milk evaporated,279,0.8691588785046729
milk evaporada,279,0.8691588785046729
milk condensed,279,0.8691588785046729
milk condensada,279,0.8691588785046729
battery,286,0.8909657320872274
bread pandesal,286,0.8909657320872274
candles,286,0.8909657320872274
canned pork luncheon meat,292,0.9096573208722741
soy sauce,296,0.9221183800623053
bottled water distilled,296,0.9221183800623053
salt iodized rock,296,0.9221183800623053
salt iodized,296,0.9221183800623053
patis,296,0.9221183800623053
bottled water mineral,296,0.9221183800623053
bread loaf,296,0.9221183800623053
canned pork meat loaf,296,0.9221183800623053
laundry soap,296,0.9221183800623053
instant noodles,296,0.9221183800623053
toilet soap,296,0.9221183800623053
canned beef loaf,296,0.9221183800623053
coffee,296,0.9221183800623053
canned sardines,296,0.9221183800623053
canned beef corned,296,0.9221183800623053
vinegar,296,0.9221183800623053
