quantile,variable,coef,std_err,p_value,ci_lower,ci_upper,commodity
0.1,const,-1.3708984987602614e-07,1.2423607685966765e-08,7.745506808556567e-23,-1.6157375262522905e-07,-1.1260594712682325e-07,battery
0.1,brent_ret_lag0,6.694823415107238e-09,2.5127583821451067e-07,0.9787682611392144,-4.885086103682876e-07,5.018982571985021e-07,battery
0.1,brent_ret_lag1,-1.464981492422428e-06,4.3921045455892817e-07,0.000998645730594951,-2.3305582498083547e-06,-5.99404735036501e-07,battery
0.1,brent_ret_lag2,-8.317954514760245e-07,3.21333069242222e-07,0.010276794465454374,-1.4650646126003136e-06,-1.9852629035173557e-07,battery
0.1,brent_ret_lag3,1.0185302623562599e-08,2.7865919882847386e-07,0.9708759208634536,-5.389840607968364e-07,5.593546660439617e-07,battery
0.1,brent_ret_lag4,4.611707998363483e-07,2.381148819264315e-07,0.05404986287839599,-8.095596816695018e-09,9.304371964893916e-07,battery
0.25,const,-2.1467567471703177e-08,2.5856781128758296e-09,1.0159815038276411e-14,-2.6563308826117e-08,-1.6371826117289354e-08,battery
0.25,brent_ret_lag0,-8.292548563406537e-08,5.860357062467186e-08,0.15846882357180467,-1.984188399156284e-07,3.256786864749766e-08,battery
0.25,brent_ret_lag1,-3.3020446559591005e-07,7.046634455582822e-08,4.869540746355171e-06,-4.6907645598768194e-07,-1.9133247520413813e-07,battery
0.25,brent_ret_lag2,-2.534776727623218e-07,6.125669226475125e-08,4.9825601757555445e-05,-3.741996831524389e-07,-1.327556623722047e-07,battery
0.25,brent_ret_lag3,-4.965828062283601e-08,5.7716686710669006e-08,0.39051203942872725,-1.634038028696829e-07,6.408724162401089e-08,battery
0.25,brent_ret_lag4,1.9710333452703023e-07,6.433567223889868e-08,0.002458089016993707,7.031340504615484e-08,3.2389326400790563e-07,battery
0.5,const,1.8692422102117288e-08,3.364123338427814e-09,7.883829959865821e-08,1.2062554938215386e-08,2.532228926601919e-08,battery
0.5,brent_ret_lag0,-1.408944885566058e-07,7.232031726230412e-08,0.05265705161561683,-2.834202072849789e-07,1.6312301717672806e-09,battery
0.5,brent_ret_lag1,4.7671208484949845e-08,7.2960956654118e-08,0.5141907087109244,-9.611705434196211e-08,1.914594713118618e-07,battery
0.5,brent_ret_lag2,-9.343636427765671e-08,7.233592556209686e-08,0.1978100583978055,-2.3599284316071796e-07,4.912011460540455e-08,battery
0.5,brent_ret_lag3,-1.1547638772672625e-07,7.255568536207064e-08,0.11291400161170483,-2.5846595961358703e-07,2.7513184160134552e-08,battery
0.5,brent_ret_lag4,1.6327940366457588e-07,7.325280912129067e-08,0.026821479271890384,1.8915970757925987e-08,3.0764283657122577e-07,battery
0.75,const,9.444999938442932e-08,2.015521484747561e-08,4.866431930561968e-06,5.4728983340732335e-08,1.341710154281263e-07,battery
0.75,brent_ret_lag0,-4.4679985284795663e-07,4.624976289858638e-07,0.3350707724361687,-1.3582699552577167e-06,4.6467024956180333e-07,battery
0.75,brent_ret_lag1,5.752783912501677e-07,6.092447790502681e-07,0.346073892988662,-6.25394577325272e-07,1.7759513598256073e-06,battery
0.75,brent_ret_lag2,-5.777957665071152e-08,4.5354958580910404e-07,0.8987442630856253,-9.516152668612741e-07,8.360561135598512e-07,battery
0.75,brent_ret_lag3,-3.717999012208615e-07,5.467297129446226e-07,0.49718875660612105,-1.4492709112686237e-06,7.056711088269008e-07,battery
0.75,brent_ret_lag4,3.735694425266122e-07,4.4097414063286484e-07,0.39783024983926596,-4.954831102486981e-07,1.2426219953019224e-06,battery
0.9,const,3.245264099828391e-07,6.751161509747043e-08,2.830974144103358e-06,1.9147747119872163e-07,4.575753487669566e-07,battery
0.9,brent_ret_lag0,-1.5895178054994952e-06,1.677346460163026e-06,0.3443486386679696,-4.895158859646761e-06,1.7161232486477706e-06,battery
0.9,brent_ret_lag1,1.9393102576454896e-06,2.6478182797878417e-06,0.4646894122801293,-3.278894220359357e-06,7.157514735650336e-06,battery
0.9,brent_ret_lag2,2.4256620055260166e-08,1.6095641232726828e-06,0.9879896885644548,-3.147801968637026e-06,3.1963152087475463e-06,battery
0.9,brent_ret_lag3,-1.0079487527546292e-06,2.256427302708125e-06,0.6555282454094172,-5.454817008467168e-06,3.4389195029579096e-06,battery
0.9,brent_ret_lag4,9.422851376223696e-07,1.4869335822828122e-06,0.5269252072196684,-1.988098543460784e-06,3.872668818705523e-06,battery
0.1,const,-1.4406612048374322e-07,1.9021132161150782e-08,8.646276038580731e-13,-1.8154320342529211e-07,-1.0658903754219432e-07,bottled_water_distilled
0.1,brent_ret_lag0,6.685268526085432e-07,6.333305964817322e-07,0.29226594841884757,-5.793159725543158e-07,1.9163696777714022e-06,bottled_water_distilled
0.1,brent_ret_lag1,1.5397688072557215e-06,7.418825940497283e-07,0.03904825401658837,7.804742944626368e-08,3.0014901850651795e-06,bottled_water_distilled
0.1,brent_ret_lag2,-1.5264758678441832e-08,4.4699695513543754e-07,0.9727873613522129,-8.959768961213212e-07,8.654473787644376e-07,bottled_water_distilled
0.1,brent_ret_lag3,-3.7832299721981996e-08,2.6520434913863454e-07,0.8866882772482952,-5.603608908133117e-07,4.846962913693476e-07,bottled_water_distilled
0.1,brent_ret_lag4,-6.295073469623313e-07,5.128763252290076e-07,0.2209194812379915,-1.6400207284224517e-06,3.810060344977891e-07,bottled_water_distilled
0.25,const,-3.198442005007769e-08,3.6214922574730486e-09,2.630300761298242e-16,-3.91197979316687e-08,-2.484904216848669e-08,bottled_water_distilled
0.25,brent_ret_lag0,2.205734218371485e-07,8.979289161844612e-08,0.014768148355203655,4.365568538299929e-08,3.974911582912977e-07,bottled_water_distilled
0.25,brent_ret_lag1,6.328673185803254e-07,1.0688292667487723e-07,1.1489986945942005e-08,4.222773140478339e-07,8.434573231128169e-07,bottled_water_distilled
0.25,brent_ret_lag2,1.8750389199295114e-08,8.88006254487953e-08,0.832955177798997,-1.5621229845833458e-07,1.937130768569248e-07,bottled_water_distilled
0.25,brent_ret_lag3,3.609448353896465e-08,6.190880544388712e-08,0.5604440894025655,-8.588360991919052e-08,1.5807257699711984e-07,bottled_water_distilled
0.25,brent_ret_lag4,-2.0081253119699176e-07,8.341472216827204e-08,0.016852107929561363,-3.651634454728251e-07,-3.646161692115845e-08,bottled_water_distilled
0.5,const,8.468895436558509e-09,1.7553845482105759e-09,2.5492109191456816e-06,5.01028467931003e-09,1.1927506193806987e-08,bottled_water_distilled
0.5,brent_ret_lag0,1.4463335703786247e-07,3.751398443809789e-08,0.000149790203017688,7.072005396297805e-08,2.1854666011274688e-07,bottled_water_distilled
0.5,brent_ret_lag1,3.7498830392626233e-07,3.794699659854244e-08,1.9635834113718691e-19,3.002218427683473e-07,4.497547650841774e-07,bottled_water_distilled
0.5,brent_ret_lag2,-1.194482466978621e-08,3.768709827123576e-08,0.7515698366373367,-8.619921162063929e-08,6.230956228106687e-08,bottled_water_distilled
