commodity,brand,specification,sept,oct,nov,dec
Bottled Water - Distilled,Wilkins,330mL,11,12,12,12
Bottled Water - Distilled,Wilkins,500mL,17,17,17,17
Bottled Water - Distilled,Wilkins,1L,25,25,25,25
Bottled Water - Distilled,Wilkins,7L,88,88,88,88
Bottled Water - Mineral,Refresh,350ml,6,6,6,6
Bottled Water - Mineral,Refresh,500ml,8.25,8.25,8.25,8.25
Bottled Water - Mineral,Summit,350ml,11,10.45,10.5,
Bottled Water - Mineral,Summit,500ml,13.5,14.5,13.5,13.5
Bottled Water - Mineral,Summit,1L,21.5,18.5,21.5,18.5
Bottled Water - Mineral,Summit,6L,72,72,72,72
Bread - Loaf,Marby  ,600g,77.75,77.75,77.75,77.75
Bread - Loaf,Marby ,450g,52.75,52.75,55.75,55.75
Bread - Loaf,Pinoy ,450g,40.5,40.5,40.5,40.5
Bread - Loaf,SM Bonus,450g,47.5,47.5,47.5,47.5
Bread - Pandesal,Coco Pinoy,250g,23.5,23.5,23.5,
Bread - Pandesal,Gardenia,300g,54,54,54,54
Bread - Pandesal,Pinoy ,250g,25,25,25,25
Candles,5 Star,25pcs./pack,106,106,106,106
Candles,5 Star,5pcs./pack,,,130,
Candles,5 Star,4ocs./pack,33.4,33.4,33.4,33.4
Candles,5 Star,2pcs./pack,108,,85.95,
Candles,5 Star,20pcs./pack,,49.8,49.8,49.8
Candles,Export ,12pcs./pack,,,49.75,
Candles,Liwanag,20pcs./pack,64.75,65,64.75,65
Candles,Liwanag,20pcs./pack,88,88,88,88
Candles,Liwanag,4pcs./pack,45,40.9,45,45
Candles,Liwanag,4pcs./pack,76,76,74.75,76
Candles,Liwanag,2pcs./pack,177.5,177.5,177.5,177.5
Candles,Manila Wax,10 pcs./pack,53.75,53.75,53.75,53.75
Candles,Manila Wax,20pcs./pack,64.5,,64.5,64.5
Candles,Manila Wax,20pcs./pack,46.75,46.75,46.75,46.75
Candles,Manila Wax,4pcs./pack,53.75,53.75,53.75,53.75
Candles,Manila Wax,2pcs./pack,58.75,58.75,58.75,58.75
Candles,Manila Wax,6 pcs./pack,,71,71,
Candles,Manila Wax,6 pcs./pack,58.75,58.75,,58.75
Canned Sardines in tomato sauce,Atami,155g,18.5,18.5,18.5,18.5
