commodity,brand,specification,jan,feb,mar,apr,may,jun,jul,aug,sept,oct,nov,dec
Bottled Water - Distilled,Absolute,250ml,9.25,9.25,9.25,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5
Bottled Water - Distilled,Absolute,350ml,12,12,12,12,12,12,12,12,12,12,12,12
Bottled Water - Distilled,Absolute,500ml,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25
Bottled Water - Distilled,Absolute,1L,25,25,25,25,25,25,25,25,25,25,25,25
Bottled Water - Distilled,Absolute,1.5L,42.5,37,37,35,35,35,35,36,36,35,35,35
Bottled Water - Distilled,Absolute,6L,82,82,82,82,82,82,82,82,82,82,82,82
Bottled Water - Distilled,Absolute,8L,95.8,96,96,96,96,96,96,95.7,80,96,80,80
Bottled Water - Distilled,Aqua Spring,6L,,,,,,,51,51,51,51,51,51
Bottled Water - Distilled,Nature's Spring,2L,27,30,30,27,27,29.25,27,29.25,31,31,27,27
Bottled Water - Distilled,Nature's Spring,5L,,,,58.5,58.5,59.5,58.5,55.5,65,58.5,,59.5
Bottled Water - Distilled,Nature's Spring,6.6L,,79.5,79.5,79.5,79.5,79.5,79.5,79.5,79.5,79.5,79.5,79.5
Bottled Water - Distilled,SM Bonus,325ml,6,6,6,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
Bottled Water - Distilled,SM Bonus,500ml,8,8,8,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5
Bottled Water - Distilled,SM Bonus,6L,,,,,,,,,,,,
Bottled Water - Distilled,SM Bonus,6.6L,50,50,50,54.5,54.5,54.5,54.5,54.5,54.5,54.5,54.5,54.5
Bottled Water - Distilled,Surebuy,6.6L,,,,,73.25,,,73.25,73.25,,51,
Bottled Water - Distilled,Wilkins,330mL,11,12,12,12,12,11,12,12,12,12,12,12
Bottled Water - Distilled,Wilkins,500mL,17,17,17,17,17,17,17,17,17,17,17,17
Bottled Water - Distilled,Wilkins,1L,25,25,25,25,25,25,25,25,25,25,25,25
Bottled Water - Distilled,Wilkins,5L,83,70.25,70.25,70.25,70.25,69,77.25,69,73,69,70.25,77.25
Bottled Water - Distilled,Wilkins,7L,83,85,85,88,88,88,88,88,88,88,88,88
Bottled Water - Mineral,Aqualized,350ml,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6
Bottled Water - Mineral,Aqualized,1L,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4
Bottled Water - Mineral,Aqualized,6L,,71,71,71,71,,71,71,71,71,71,71
Bottled Water - Mineral,Hidden Spring,330mL,8.8,8.8,8.8,8.8,8.8,8.75,,8.75,8.75,8.75,,8.25
Bottled Water - Mineral,Hidden Spring,500mL,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12,12,12,12,12.1
Bottled Water - Mineral,Refresh,350ml,6,6,6,6,6,6,6,6,6,6,6.55,6.55
Bottled Water - Mineral,Refresh,500ml,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.4,8.4
Bottled Water - Mineral,Refresh,5L+675ml,55,55,55,59,55,,55,55,55,57.2,57.2,57.2
Bottled Water - Mineral,Robinsons Mall,500ml,10.45,,,10.45,10.45,,10.25,10.25,,,10.25,
Bottled Water - Mineral,Samdasoo,500ml,,36,36,40,40,40,40,37.75,37.75,40,40,40
Bottled Water - Mineral,Samdasoo,2L,,96,96,105.5,105.5,105.5,96,100,,105.5,105.5,96
Bottled Water - Mineral,Summit,350ml,8.6,10,10,10,10,10,10,10,10,10,10,10
Bottled Water - Mineral,Summit,500ml,12,12,12,12,12,12,12,12,12,12,12,12
Bottled Water - Mineral,Summit,1L,18.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5
Bottled Water - Mineral,Summit,1.5L,26.5,26.5,26.5,26,26.5,25.5,25.5,26,26,26,26,26
Bottled Water - Mineral,Summit,2L,37,34.6,34.6,38,38,38,35.7,35.3,35.3,35.7,38,38
Bottled Water - Mineral,Summit,6L,75,72,72,72,72,72,75,72,72,72,75,72
Bottled Water - Mineral,Supersavers Nature's,330ml,7.15,,,7.15,7.15,,,,,,,
Bottled Water - Mineral,Supersavers Nature's,500ml,8.7,,,8.7,8.7,,,,,,,
Bottled Water - Mineral,Viva,330ml,10,,,10,10,,,,,,,
Bottled Water - Mineral,Viva,500ml,13,,,13,13,,,,,,,
Bottled Water - Mineral,Viva,1L,19,,,19,19,,,,,,,
Bottled Water - Purified,Aquafina,350ml,,,,,,8.75,,,7.6,,,
Bottled Water - Purified,Aquafina,500ml,,,,,,9.5,,,9.5,,,
Bottled Water - Purified,Aqualife,350ml,7.6,7.6,7.6,6.5,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6
Bottled Water - Purified,Aqualife,500ml,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5
