commodity,brand,specification,jan,feb
Bottled Water - Distilled,Absolute,250ml,9.5,9.5
Bottled Water - Distilled,Absolute,350ml,12,12
Bottled Water - Distilled,Absolute,500ml,16.25,16.25
Bottled Water - Distilled,Absolute,1L,25,25
Bottled Water - Distilled,Absolute,1.5L,37.5,35
Bottled Water - Distilled,Absolute,6L,82,82
Bottled Water - Distilled,Absolute,8L,96,80
Bottled Water - Distilled,Aqua Spring,6L,51,51
Bottled Water - Distilled,Nature's Spring,2L,27,27
Bottled Water - Distilled,Nature's Spring,6.6L,78,79.5
Bottled Water - Distilled,SM Bonus,325ml,6.5,6.5
Bottled Water - Distilled,SM Bonus,500ml,8.5,8.5
Bottled Water - Distilled,SM Bonus,6.6L,54.5,54.5
Bottled Water - Distilled,Surebuy,6.6L,73.25,73.25
Bottled Water - Distilled,Wilkins,330mL,12,12
Bottled Water - Distilled,Wilkins,500mL,17,17
Bottled Water - Distilled,Wilkins,1L,25,25
Bottled Water - Distilled,Wilkins,5L,70.25,70.25
Bottled Water - Distilled,Wilkins,7L,88,88
Bottled Water - Mineral,Aqualized,350ml,7.6,7.6
Bottled Water - Mineral,Aqualized,1L,15.4,15.4
Bottled Water - Mineral,Aqualized,6L,71,71
Bottled Water - Mineral,Hidden Spring,500mL,12,12
Bottled Water - Mineral,Refresh,350ml,6.5,6.55
Bottled Water - Mineral,Refresh,500ml,8.25,8.4
Bottled Water - Mineral,Refresh,5L+675ml,75,75
Bottled Water - Mineral,Robinsons Mall,500ml,10.25,10.25
Bottled Water - Mineral,Samdasoo,500ml,,40
Bottled Water - Mineral,Samdasoo,2L,0,105.5
Bottled Water - Mineral,Summit,350ml,10,10
Bottled Water - Mineral,Summit,500ml,12,12
Bottled Water - Mineral,Summit,1L,19.5,19.5
Bottled Water - Mineral,Summit,1.5L,26,26
Bottled Water - Mineral,Summit,2L,38,35.3
Bottled Water - Mineral,Summit,6L,75,75
Bottled Water - Purified,Aquafina,350ml,0,
Bottled Water - Purified,Aqualife,350ml,7.6,7.6
Bottled Water - Purified,Aqualife,500ml,9.5,9.5
Bottled Water - Purified,Aqualife,1L,15.4,15.4
Bottled Water - Purified,Nature's Spring,350ml,8.25,8.25
Bottled Water - Purified,Nature's Spring,500ml,10.5,10.5
Bottled Water - Purified,Nature's Spring,1L,16.5,16.5
Bottled Water - Purified,Nature's Spring,2L,28.75,28.75
Bottled Water - Purified,SIP,350ml,10,10
Bottled Water - Purified,SIP,500ml,12,12
Bottled Water - Purified,SIP,1L,20,20
Bottled Water - Purified,Vital,350ml,6.7,6.7
Bottled Water - Purified,Vital,500ml,8.5,8.5
Bottled Water - Purified,Vital,1L,13.3,13.3
Bottled Water - Purified,Vital,6L,,60
Bottled Water - Purified,WET,330ml,5.8,5.8
Bottled Water - Purified,WET,1L,13.3,13.3
Bottled Water - Purified,Wilkins,330ml,10,10
Bottled Water - Purified,Wilkins,500ml,11,11
Bottled Water - Purified,Wilkins,1L,18,18
Bread - Loaf,Angelina,450g,,
Bread - Loaf,Angelina,350g,,
Bread - Loaf,Angelina,640g,,
Bread - Loaf,Bread Winner,600g,0,
Bread - Loaf,Delifranz,600g,,
Bread - Loaf,Fuwa Fuwa,366g,59.5,59.5
Bread - Loaf,Fuwa Fuwa,500g,,
Bread - Loaf,Gardenia,400g,58.5,58.5
Bread - Loaf,Gardenia,600g,85,85
Bread - Loaf,Juan,450g,39.75,39.75
Bread - Loaf,Marby,450g,53,53
Bread - Loaf,Marby,220g,,
Bread - Loaf,Marby,600g,82,82
Bread - Loaf,Melle's,550g,75,75
Bread - Loaf,MLM Pullman,600g,,
Bread - Loaf,Monde,600g,85,85
Bread - Loaf,Neu Bake,450g,54,54
Bread - Loaf,Olsen's,400g,,
Bread - Loaf,Olsen's,450g,,
Bread - Loaf,Pinoy,450g,44,44
Bread - Loaf,Real Good,450g,,
Bread - Loaf,SM Bonus,450g,46,46
Bread - Loaf,Tiffany's,600g,69.5,66
Bread - Loaf,Tiffany's,620g,66,66
Bread - Loaf,Tiffany's,720g,79,79
Bread - Loaf,Uncle George,550g,,
Bread - Loaf,Walter,580g,,
Bread - Pandesal,Coco Pinoy,250g,,
Bread - Pandesal,Gardenia,300g,54,54
Bread - Pandesal,Gardenia,225g,,
Bread - Pandesal,Local Pandesal,10g,,
Bread - Pandesal,Local Pandesal,15g,,
Bread - Pandesal,Local Pandesal,20g,,
Bread - Pandesal,Local Pandesal,25g,,
Bread - Pandesal,Marby,250g,,
Bread - Pandesal,Marby,400g,,
Bread - Pandesal,Pinoy,250g,27.25,27.25
Bread - Pandesal,Tiffany's,350g,,
Bread - Pandesal,Uncle George,390g,,
Candles,5 Star,25pcs./pack,115.5,115.5
Candles,5 Star,5pcs./pack,150.25,150.25
Candles,5 Star,4pcs./pack,33.4,36.25
Candles,5 Star,2pcs./pack,117.75,117.75
Candles,5 Star,20pcs./pack,54.25,54.25
Candles,Export,20pcs./pack,,
Candles,Export,20pcs./pack,85,85
Candles,Export,10pcs./pack,,
Candles,Export,8pcs./pack,68.15,68.15
Candles,Export,4pcs./pack,,
Candles,Export,4pcs./pack,,
Candles,Export,4pcs./pack,97,97
Candles,Export,2pcs./pack,,
Candles,Export,4pcs./pack,,
Candles,Export,20pcs./pack,60.5,60.5
Candles,Export,12pcs./pack,,
Candles,Export,10pcs./pack,,
Candles,Export,12pcs./pack,60.15,60.15
Candles,Export,12pcs./pack,,
Candles,Export,4pcs./pack,54.5,54.5
Candles,Export,4pcs./pack,,
Candles,Export,6pcs./pack,82,82
Candles,Export,6pcs./pack,,
Candles,Joy,20pcs./pack,0,51.5
Candles,Joy,4pcs./pack,52.5,52.5
Candles,Joy,4pcs./pack,78.9,78.9
Candles,Joy,2pcs./pack,53.5,53.5
Candles,Joy,2pcs./pack,0,116.3
Candles,Glow,10pcs./pack,,
Candles,Glow,4pcs./pack,51,44.75
Candles,Glow,2pcs./pack,,
Candles,Glow,2pcs./pack,165,165
Candles,Liwanag,20pcs./pack,62.25,62.25
Candles,Liwanag,20pcs./pack,86.75,86.75
Candles,Liwanag,4pcs./pack,,
Candles,Liwanag,4pcs./pack,26.55,26.55
Candles,Liwanag,4pcs./pack,29.95,29.95
Candles,Liwanag,4pcs./pack,44,44
Candles,Liwanag,2pcs./pack,,
Candles,Liwanag,4pcs./pack,72,72
Candles,Liwanag,2pcs./pack,79.5,79.5
Candles,Liwanag,2pcs./pack,177.5,177.5
Candles,Liwanag,6pcs./pack,,
Candles,Manila Wax,10 pcs./pack,53.75,53.75
Candles,Manila Wax,20pcs./pack,63.75,63.75
Candles,Manila Wax,20pcs./pack,46.75,46.75
Candles,Manila Wax,4pcs./pack,53.75,53.75
Candles,Manila Wax,2pcs./pack,58.75,58.75
Candles,Manila Wax,6 pcs./pack,81.75,81.75
Candles,Manila Wax,6 pcs./pack,81.75,76.85
Candles,Manila Wax,6 pcs./pack,71,71
Candles,Manila Wax,6 pcs./pack,71,64.05
Candles,Manila Wax,6 pcs./pack,58.75,58.75
Candles,Manila Wax,6 pcs./pack,,
Canned Sardines in tomato sauce,555,155g,,
Canned Sardines in tomato sauce,555,155g,23,23
Canned Sardines in tomato sauce,Asahi,155g,,
Canned Sardines in tomato sauce,Asahi,155g,,
Canned Sardines in tomato sauce,Atami,155g,20.5,20.5
Canned Sardines in tomato sauce,Atami,155g,,
Canned Sardines in tomato sauce,Blue Bay,155g,,
Canned Sardines in tomato sauce,Family's,155g,,
Canned Sardines in tomato sauce,Family's,155g,24,24
Canned Sardines in tomato sauce,Family's,155g,24.25,24.25
Canned Sardines in tomato sauce,Family's,130g,,
Canned Sardines in tomato sauce,Gold Cup,155g,20.75,20.75
Canned Sardines in tomato sauce,Golden Town,155g,,
Canned Sardines in tomato sauce,Hakata,155g,23.6,23.6
Canned Sardines in tomato sauce,Hakone,155g,23,23
Canned Sardines in tomato sauce,King Cup,155g,,
Canned Sardines in tomato sauce,King Cup,155g,21.75,21.75
Canned Sardines in tomato sauce,Ligo,155g,23.5,23.5
Canned Sardines in tomato sauce,Lucky 7,155g,19.5,19.65
Canned Sardines in tomato sauce,Mariko,155g,,
Canned Sardines in tomato sauce,Master,155g,26.95,24.9
Canned Sardines in tomato sauce,Master,155g,24.25,24.5
Canned Sardines in tomato sauce,Mega,155g,23.75,23.75
Canned Sardines in tomato sauce,Mikado,155g,,
Canned Sardines in tomato sauce,Mikado,155g,20.5,20.5
Canned Sardines in tomato sauce,Miko,155g,,
Canned Sardines in tomato sauce,Morjon,155g,,
Canned Sardines in tomato sauce,Paradiso,155g,,
Canned Sardines in tomato sauce,Rose Bowl,155g,,
Canned Sardines in tomato sauce,Rose Bowl,155g,24,24
Canned Sardines in tomato sauce,Saba Philippines,155g,,
Canned Sardines in tomato sauce,Saba Philippines,155g,,
Canned Sardines in tomato sauce,Sallenas Sardines,155g,,
Canned Sardines in tomato sauce,Sea Point,155g,19.75,19.75
Canned Sardines in tomato sauce,Señorita,155g,23.1,25
Canned Sardines in tomato sauce,SM Bonus,155g,22.95,22.95
Canned Sardines in tomato sauce,Swan,155g,23.25,23.25
Canned Sardines in tomato sauce,Toyo,130g,,
Canned Sardines in tomato sauce,Toyo,155g,,
Canned Sardines in tomato sauce,Toyo,155g,,
Canned Sardines in tomato sauce,Uni-Pak,155g,23.5,23.5
Canned Sardines in tomato sauce,Vinta,155g,0,24.75
Canned Sardines in tomato sauce,Young's Town,155g,23.25,22.8
Coffee,Great Taste,20g,,26.25
Coffee,Great Taste,40g,,51.25
Coffee,Great Taste,80g,104.5,101.25
Coffee,Great Taste,25g,,
Coffee,Great Taste,50g,,
Coffee,Great Taste,100g,102.25,102.25
Coffee,Kopi Juan,50g,34.75,34
Coffee,Nescafe,20g,,26.5
Coffee,Nescafe,40g,,51.75
Coffee,Nescafe,80g,,102.75
Coffee,Blend 45,25g,22.5,22.5
Coffee,Blend 45,100g,85,85
Coffee,Cafe Puro,25g,26.25,26.25
Coffee,Cafe Puro,50g,62.5,53.3
Coffee,Cafe Puro,100g,117.35,117.35
Coffee 3-in-1,Blend 45,18g,5,5.5
Coffee 3-in-1,Cafe Puro,17g,,
Coffee 3-in-1,Great Taste,33g,8.25,10
